30.08.2021|25,565|29,818|19,718|21,665
31.08.2021|25,525|29,728|19,642|21,569
01.09.2021|25,41|29,593|19,493|21,492
02.09.2021|25,38|29,542|19,477|21,425
03.09.2021|25,42|29,613|19,471|21,412
06.09.2021|25,4|29,632|19,488|21,408
07.09.2021|25,42|29,517|19,478|21,434
08.09.2021|25,395|29,571|19,488|21,471
09.09.2021|25,4|29,69|19,523|21,457
10.09.2021|25,29|29,665|19,449|21,358
13.09.2021|25,35|29,784|19,555|21,52
14.09.2021|25,39|29,783|19,518|21,492
15.09.2021|25,32|29,61|19,613|21,412
16.09.2021|25,28|29,735|19,649|21,493
17.09.2021|25,295|29,634|19,517|21,474
